time,lat,lng,七级半径（公里）,十级半径（公里）,十二级半径（公里）
7月26日5点40分,121.4083333,30.49166667,300,100,0
7月26日5点45分,121.40625,30.49375,300,100,0
7月26日5点50分,121.4041667,30.49583333,300,100,0
7月26日5点55分,121.4020833,30.49791667,301,101,1
7月26日6点0分,121.4,30.5,300,100,0
7月26日6点05分,121.3958333,30.5,300,100,0
7月26日6点10分,121.3916667,30.5,300,100,0
7月26日6点15分,121.3875,30.5,300,100,0
7月26日6点20分,121.3833333,30.5,300,100,0
7月26日6点25分,121.3791667,30.5,300,100,0
7月26日6点30分,121.375,30.5,300,100,0
7月26日6点35分,121.3708333,30.5,300,100,0
7月26日6点40分,121.3666667,30.5,300,100,0
7月26日6点45分,121.3625,30.5,300,100,0
7月26日6点50分,121.3583333,30.5,300,100,0
7月26日6点55分,121.3541667,30.5,300,100,0
7月26日7点0分,121.35,30.5,300,100,0
7月26日7点5分,121.3458333,30.5,300,100,0
7月26日7点10分,121.3416667,30.5,300,100,0
7月26日7点15分,121.3375,30.5,300,100,0
7月26日7点20分,121.3333333,30.5,300,100,0
7月26日7点25分,121.3291667,30.5,300,100,0
7月26日7点30分,121.325,30.5,300,100,0
7月26日7点35分,121.3208333,30.5,300,100,0
7月26日7点40分,121.3166667,30.5,300,100,0
7月26日7点45分,121.3125,30.5,300,100,0
7月26日7点50分,121.3083333,30.5,300,100,0
7月26日7点55分,121.3041667,30.5,300,100,0
7月26日8点0分,121.3,30.5,300,100,0
7月26日8点5分,121.3083333,30.50833333,300,100,0
7月26日8点10分,121.3166667,30.51666667,300,100,0
7月26日8点15分,121.325,30.525,300,100,0
7月26日8点20分,121.3333333,30.53333333,300,100,0
7月26日8点25分,121.3416667,30.54166667,300,100,0
7月26日8点30分,121.35,30.55,300,100,0
7月26日8点35分,121.3583333,30.55833333,300,100,0
7月26日8点40分,121.3666667,30.56666667,300,100,0
7月26日8点45分,121.375,30.575,300,100,0
7月26日8点50分,121.3833333,30.58333333,300,100,0
7月26日8点55分,121.3916667,30.59166667,300,100,0
7月26日9点0分,121.2,30.6,300,100,0
